city,station_count,pm2.5,aqi
南投縣,84,16.638297872340427,54.4468085106383
台中市,483,8.327272727272728,40.127272727272725
台北市,247,5.922077922077922,44.756410256410255
台南市,340,17.75,64.31884057971014
台東縣,57,4.0,27.708333333333332
嘉義市,37,19.434782608695652,65.78260869565217
嘉義縣,76,13.363636363636363,55.68181818181818
基隆市,30,5.363636363636363,35.72727272727273
宜蘭縣,90,4.75,31.25
屏東縣,158,15.152542372881356,59.3
彰化縣,251,8.807017543859649,46.19298245614035
新北市,625,7.157894736842105,44.63970588235294
新竹市,86,6.090909090909091,33.27272727272727
新竹縣,99,3.272727272727273,32.31818181818182
桃園市,326,6.6923076923076925,38.73134328358209
澎湖縣,11,10.666666666666666,54.416666666666664
花蓮縣,67,3.25,28.0
苗栗縣,109,3.757575757575758,30.0
連江縣,1,19.083333333333332,81.25
金門縣,10,22.833333333333332,83.75
雲林縣,135,14.177777777777777,61.51111111111111
高雄市,477,21.278145695364238,70.52564102564102
