sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
臺南（南化）,台南市,59,細懸浮微粒,普通,0.28,15.0,15.3,9.8
新北(樹林),新北市,48,,良好,0.35,6.0,8.2,27.6
屏東（琉球）,屏東縣,52,細懸浮微粒,普通,0.32,13.0,12.8,17.9
南投（鹿谷）,南投縣,56,細懸浮微粒,普通,0.29,20.0,14.4,8.9
高雄（湖內）,高雄市,67,懸浮微粒,普通,0.3,13.0,17.0,19.0
宜蘭（三星）,宜蘭縣,28,,良好,0.12,0.0,1.5,1.6
林森,台南市,70,懸浮微粒,普通,0.53,14.0,15.0,24.6
員林,彰化縣,52,二氧化氮,普通,0.37,9.0,11.5,25.1
大城,彰化縣,52,細懸浮微粒,普通,0.29,18.0,12.7,19.5
富貴角,新北市,55,細懸浮微粒,普通,0.06,9.0,14.0,0.5
麥寮,雲林縣,59,懸浮微粒,普通,0.39,13.0,10.4,21.3
關山,台東縣,26,,良好,0.22,7.0,4.9,8.3
馬公,澎湖縣,51,懸浮微粒,普通,0.15,8.0,10.1,2.6
金門,金門縣,78,細懸浮微粒,普通,0.25,20.0,22.3,11.3
馬祖,連江縣,62,細懸浮微粒,普通,0.18,11.0,16.5,5.2
埔里,南投縣,69,細懸浮微粒,普通,0.34,22.0,19.0,10.1
復興,高雄市,72,細懸浮微粒,普通,0.43,16.0,20.0,21.4
永和,新北市,27,,良好,0.3,3.0,6.8,14.9
竹山,南投縣,75,細懸浮微粒,普通,0.32,23.0,21.3,17.1
中壢,桃園市,40,,良好,0.41,6.0,9.0,26.4
三重,新北市,59,二氧化氮,普通,0.75,6.0,8.5,85.1
冬山,宜蘭縣,30,,良好,0.15,3.0,6.2,5.4
宜蘭,宜蘭縣,26,,良好,0.15,5.0,5.8,3.4
陽明,台北市,37,,良好,0.14,5.0,3.1,2.0
花蓮,花蓮縣,29,,良好,0.34,5.0,4.3,14.7
臺東,台東縣,28,,良好,0.22,4.0,4.8,6.6
恆春,屏東縣,37,,良好,0.12,1.0,2.1,1.8
潮州,屏東縣,67,細懸浮微粒,普通,0.37,23.0,18.2,17.2
屏東,屏東縣,80,細懸浮微粒,普通,0.34,24.0,23.2,17.5
小港,高雄市,76,細懸浮微粒,普通,0.43,18.0,21.5,24.0
前鎮,高雄市,72,懸浮微粒,普通,0.41,18.0,17.7,21.7
前金,高雄市,67,懸浮微粒,普通,0.25,12.0,16.3,14.8
左營,高雄市,68,細懸浮微粒,普通,0.31,18.0,18.7,17.1
楠梓,高雄市,78,細懸浮微粒,普通,0.35,15.0,22.5,22.1
林園,高雄市,93,細懸浮微粒,普通,0.45,31.0,28.0,26.4
大寮,高雄市,95,細懸浮微粒,普通,0.36,27.0,28.7,25.7
鳳山,高雄市,78,細懸浮微粒,普通,0.62,16.0,22.5,33.8
仁武,高雄市,80,細懸浮微粒,普通,0.37,21.0,23.0,24.6
橋頭,高雄市,80,細懸浮微粒,普通,0.36,19.0,23.1,23.3
美濃,高雄市,67,細懸浮微粒,普通,0.32,16.0,18.2,13.4
臺南,台南市,65,懸浮微粒,普通,0.37,17.0,16.9,21.5
安南,台南市,67,懸浮微粒,普通,0.33,15.0,15.9,17.7
善化,台南市,69,細懸浮微粒,普通,0.3,17.0,19.0,17.1
新營,台南市,66,細懸浮微粒,普通,0.33,22.0,18.1,20.3
嘉義,嘉義市,69,懸浮微粒,普通,0.46,22.0,18.1,23.0
臺西,雲林縣,55,懸浮微粒,普通,0.34,6.0,8.0,17.1
朴子,嘉義縣,62,懸浮微粒,普通,0.28,14.0,12.8,15.9
新港,嘉義縣,62,懸浮微粒,普通,0.46,20.0,15.3,19.2
